libxfixes3_1%3a6.0.0-2build1_i386.deb	11604
libxcb-render0_1.15-1ubuntu2_i386.deb	17316
libx264-164_2%3a0.164.3108+git31e19f9-1_i386.deb	1029126
libxkbcommon0_1.6.0-1build1_i386.deb	126374
libssh-gcrypt-4_0.10.6-2ubuntu0.5_amd64.deb	225808
libpci3_1%3a3.10.0-2build1_i386.deb	40470
python3-pefile_2023.2.7-3_all.deb	66476
libsasl2-2_2.1.28+dfsg1-5ubuntu3.1_i386.deb	61544
libxau6_1%3a1.0.9-1build6_i386.deb	7520
libgpg-error0_1.47-3build2.1_i386.deb	78898
libsharpyuv0_1.3.2-0.4build3_i386.deb	14778
libpango-1.0-0_1.52.1+ds-1build1_i386.deb	239246
libwrap0_7.6.q-33_i386.deb	49126
libpsl5t64_0.21.2-1.1build1_i386.deb	57732
libasound2-plugins_1.2.7.1-1ubuntu5_i386.deb	77070
libsodium23_1.0.18-1ubuntu0.24.04.1_i386.deb	187720
libavformat60_7%3a6.1.1-3ubuntu5_i386.deb	1333702
libavcodec60_7%3a6.1.1-3ubuntu5_i386.deb	5785266
libpixman-1-0_0.42.2-1build1_i386.deb	276762
libpcre2-8-0_10.42-4ubuntu2.1_i386.deb	226784
libunwind8_1.6.2-3build1.1_i386.deb	53782
libkrb5-3_1.20.1-6ubuntu2.8_i386.deb	394568
libvpx9_1.14.0-1ubuntu2.3_i386.deb	1129298
libgssapi-krb5-2_1.20.1-6ubuntu2.8_amd64.deb	142680
libswresample4_7%3a6.1.1-3ubuntu5_i386.deb	69514
libwebpmux3_1.3.2-0.4build3_i386.deb	27852
libflac12t64_1.4.3+ds-2.1ubuntu2_i386.deb	198778
libvdpau1_1.5-2build1_i386.deb	26856
libfontconfig1_2.15.0-1.1ubuntu2_i386.deb	145228
libsrt1.5-gnutls_1.5.3-1build2_amd64.deb	316428
libjpeg8_8c-2ubuntu11_i386.deb	2148
libldap2_2.6.10+dfsg-0ubuntu0.24.04.1_i386.deb	212908
winehq-devel_11.17~noble-1_amd64.deb	1320
libgnutls30t64_3.8.3-1.1ubuntu3.6_i386.deb	1016368
libcap2_1%3a2.66-5ubuntu2.4_i386.deb	31908
libdatrie1_0.2.13-3build1_i386.deb	21502
libxext6_2%3a1.3.4-1build2_i386.deb	33410
libxcb1_1.15-1ubuntu2_i386.deb	54348
libjxl0.7_0.7.0-10.2ubuntu6.1_amd64.deb	1001370
libcurl4t64_8.5.0-2ubuntu10.13_i386.deb	379234
libieee1284-3t64_0.2.11-14.1build1_i386.deb	24464
libsndfile1_1.2.2-1ubuntu5.24.04.1_i386.deb	240924
libxdmcp6_1%3a1.1.3-0ubuntu6_i386.deb	10738
libmbedcrypto7t64_2.28.8-1_i386.deb	211772
libsensors5_1%3a3.6.0-9build1_i386.deb	28440
libdw1t64_0.190-1.1ubuntu0.1_i386.deb	285356
libcjson1_1.7.17-1_i386.deb	26954
libc6_2.39-0ubuntu8.8_i386.deb	3009502
libexif12_0.6.24-1ubuntu0.24.04.1_i386.deb	86342
libp11-kit0_0.25.3-4ubuntu2.2_i386.deb	291246
libsqlite3-0_3.45.1-1ubuntu2.7_i386.deb	775860
librtmp1_2.4+20151223.gitfa8646d.1-2build7_i386.deb	60694
liblz4-1_1.9.4-1build1.1_i386.deb	69118
libvpl2_2023.3.0-1build1_amd64.deb	99802
libgphoto2-6t64_2.5.31-2.1ubuntu1.1_i386.deb	768782
libva-drm2_2.20.0-2ubuntu0.2_i386.deb	7306
libtinfo6_6.4+20240113-1ubuntu2.2_i386.deb	110326
curl_8.5.0-2ubuntu10.13_amd64.deb	226396
zlib1g_1%3a1.3.dfsg-3.1ubuntu2.2_i386.deb	59038
libthai0_0.1.29-2build1_i386.deb	19960
libsystemd0_255.4-1ubuntu8.17_i386.deb	457384
libnettle8t64_3.9.1-2.2build1.1_i386.deb	191182
libx265-199_3.5-2build1_i386.deb	738702
libltdl7_2.4.7-7build1_i386.deb	42058
libpulse0_1%3a16.1+dfsg1-2ubuntu10.1_i386.deb	300350
libspeex1_1.2.1-2ubuntu2.24.04.1_i386.deb	55642
libzstd1_1.5.5+dfsg2-2build1.1_i386.deb	288016
libjack-jackd2-0_1.9.21~dfsg-3ubuntu3_i386.deb	325866
libsnappy1v5_1.1.10-1build1_amd64.deb	28634
libbrotli1_1.1.0-2build2_i386.deb	334466
libdrm2_2.4.125-1ubuntu0.1~24.04.2_i386.deb	45514
libmbedcrypto7t64_2.28.8-1_amd64.deb	209262
libsvtav1enc1d1_1.7.0+dfsg-2build1_i386.deb	1129096
libperl5.38t64_5.38.2-3.2ubuntu0.4_i386.deb	4456042
libavformat60_7%3a6.1.1-3ubuntu5_amd64.deb	1153444
libgdbm6t64_1.23-5.1build1_i386.deb	39444
libsvtav1enc1d1_1.7.0+dfsg-2build1_amd64.deb	2424900
libdb5.3t64_5.3.28+dfsg2-7_i386.deb	806564
librabbitmq4_0.11.0-1ubuntu0.2_amd64.deb	38306
libjpeg-turbo8_2.1.5-2ubuntu2_i386.deb	151842
libxkbregistry0_1.6.0-1build1_i386.deb	15702
libavahi-common3_0.8-13ubuntu6.2_i386.deb	25722
libssh-gcrypt-4_0.10.6-2ubuntu0.5_i386.deb	251954
libbsd0_0.12.1-1build1.1_i386.deb	45274
